Bild,Methode,Dice Score,Datensatz
dna-29.png,Otsu Global (custom),0.28370685279662594,NIH3T3
dna-29.png,Otsu Local (custom),0.2250251279239766,NIH3T3
dna-30.png,Otsu Global (custom),0.6095864948254034,NIH3T3
dna-30.png,Otsu Global (skimage),0.6095864948254034,NIH3T3
dna-30.png,Multi-Otsu (skimage),0.6095864948254034,NIH3T3
dna-30.png,Otsu Local (skimage),0.3804763560500695,NIH3T3
dna-30.png,Otsu Local (custom),0.3147382138750479,NIH3T3
dna-31.png,Otsu Global (custom),0.7237186625334818,NIH3T3
dna-31.png,Otsu Global (skimage),0.7237186625334818,NIH3T3
dna-31.png,Multi-Otsu (skimage),0.7237186625334818,NIH3T3
dna-31.png,Otsu Local (skimage),0.4155684648946865,NIH3T3
dna-31.png,Otsu Local (custom),0.3410950529430465,NIH3T3
dna-32.png,Otsu Local (skimage),0.3401888477987449,NIH3T3
dna-32.png,Otsu Local (custom),0.28068363287471126,NIH3T3
dna-32.png,Otsu Global (custom),0.028995403964229303,NIH3T3
dna-32.png,Otsu Global (skimage),0.028995403964229303,NIH3T3
dna-32.png,Multi-Otsu (skimage),0.028995403964229303,NIH3T3
dna-33.png,Multi-Otsu (skimage),0.4475924944774015,NIH3T3
dna-33.png,Otsu Global (custom),0.42998864378556173,NIH3T3
dna-33.png,Otsu Global (skimage),0.42998864378556173,NIH3T3
dna-33.png,Otsu Local (skimage),0.3070192770356182,NIH3T3
dna-33.png,Otsu Local (custom),0.24441380627254056,NIH3T3
dna-37.png,Otsu Local (skimage),0.3352927450910005,NIH3T3
dna-37.png,Otsu Global (custom),0.311728665771575,NIH3T3
dna-37.png,Otsu Local (custom),0.27267239846615465,NIH3T3
dna-37.png,Otsu Global (skimage),0.0,NIH3T3
dna-37.png,Multi-Otsu (skimage),0.0,NIH3T3
dna-40.png,Otsu Global (custom),0.680536637820677,NIH3T3
dna-40.png,Otsu Global (skimage),0.680536637820677,NIH3T3
dna-40.png,Multi-Otsu (skimage),0.680536637820677,NIH3T3
dna-40.png,Otsu Local (skimage),0.32039425718939907,NIH3T3
dna-40.png,Otsu Local (custom),0.25834502288807487,NIH3T3
dna-42.png,Otsu Local (skimage),0.2891710663132738,NIH3T3
dna-42.png,Otsu Local (custom),0.22746733491765533,NIH3T3
dna-42.png,Otsu Global (custom),0.00021090001581750118,NIH3T3
dna-42.png,Otsu Global (skimage),0.00021090001581750118,NIH3T3
dna-42.png,Multi-Otsu (skimage),0.00021090001581750118,NIH3T3
dna-44.png,Otsu Global (custom),0.5789127665023891,NIH3T3
dna-44.png,Otsu Global (skimage),0.5789127665023891,NIH3T3
dna-44.png,Multi-Otsu (skimage),0.5789127665023891,NIH3T3
dna-44.png,Otsu Local (skimage),0.42614137307754624,NIH3T3
dna-44.png,Otsu Local (custom),0.32402209643652763,NIH3T3
dna-45.png,Otsu Global (custom),0.6286483663940449,NIH3T3
dna-45.png,Otsu Global (skimage),0.6286483663940449,NIH3T3
dna-45.png,Multi-Otsu (skimage),0.6286483663940449,NIH3T3
dna-45.png,Otsu Local (skimage),0.32838812478094803,NIH3T3
dna-45.png,Otsu Local (custom),0.25804432832456964,NIH3T3
dna-46.png,Otsu Local (skimage),0.31788585259552204,NIH3T3
dna-46.png,Otsu Local (custom),0.2524970969212766,NIH3T3
dna-46.png,Otsu Global (custom),0.07605520913993832,NIH3T3
dna-46.png,Otsu Global (skimage),0.07605520913993832,NIH3T3
dna-46.png,Multi-Otsu (skimage),0.07605520913993832,NIH3T3
dna-47.png,Otsu Local (skimage),0.2787267963602862,NIH3T3
dna-47.png,Otsu Local (custom),0.22968178119447036,NIH3T3
dna-47.png,Otsu Global (custom),0.06919951480604966,NIH3T3
dna-47.png,Otsu Global (skimage),0.06919951480604966,NIH3T3
dna-47.png,Multi-Otsu (skimage),0.06919951480604966,NIH3T3
dna-49.png,Otsu Global (custom),0.7965485556767932,NIH3T3
dna-49.png,Otsu Global (skimage),0.7965485556767932,NIH3T3
dna-49.png,Multi-Otsu (skimage),0.7965485556767932,NIH3T3
dna-49.png,Otsu Local (skimage),0.41282227236751257,NIH3T3
dna-49.png,Otsu Local (custom),0.3168592413361835,NIH3T3
